title,start_date,price,product_type,duration,course_url,provider,description,learning_outcomes,who_should_attend
Game Design for Systems Thinking,19 Aug 2026,"$1,199.00",Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11GDST&LastEntry=,Civil Service College (CSC),"(Do note that CRSGD02 was the previous code for this programme)

How can games help us navigate complex problems?

We create models to help us understand complex, interconnected systems and plan for emergencies and hypothetical scenarios. Contained within every game is a model of the system it pertains to, connecting component parts, feedback loops and thresholds. Creating games gives us system models we can interact with, which can help us better imagine underlying systems and experiment with hypothetical interventions.

In this 2-day programme, we will look at key principles of game design and interactivity, and how these principles can be applied to making models of evolving, complex issues. We will also be working hands-on to prototype some of these game systems.","Understand the key principles of systems thinking and game design. 
Analyse a real-world system to identify its key components, relationships, and feedback loops, and create a visual systems map to represent them. 
Apply game design principles to transform a systems map into an interactive game prototype that simulates the system's behaviour. 
Evaluate and select appropriate tools and techniques for implementing and communicating systems thinking and game design principles effectively within the Public Service context.","You should attend if you are interested in, or are currently exploring, using games to model complex systems. This programme is open to Singapore Public Officers only."
Building Your Personal Resilience For Support Officers,15 Jul 2026,$588.60,Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11BPR&LastEntry=,Civil Service College (CSC),"(Do note that CRBPR23 was the previous code for this programme)

In today's rapidly changing environment and workplace, being resilient has become increasingly important as we face greater demands and challenges. Simply put, resilience is the ability to cope with stress, overcome diversity or adapt positively to change and it is a process that involves our behaviour, thoughts and actions.

Learn how you can develop and enhance your resilience to gain greater well-being on both professional and personal levels through resilience techniques and frameworks that will be shared in this programme.","Define the concept of resilience and its significance in sustaining positive relationships at work and in life.
Acquire practical techniques and frameworks for building resilience to effectively manage change, crisis, and difficult emotions.
Apply resiliency skills and techniques to achieve a state of calm focus when facing difficult customer situations.
Examine the relationship between resilience and well-being, and how enhancing resilience can contribute to greater overall wellness.
Identify personal resilience strengths and areas for development through self-assessment and reflection.",You are a Singapore Public Officer who is keen to develop stronger personal resilience to better support your team and department.
[Virtual Classroom] Procurement 101 for Public Officers,17 Aug 2026,$512.30,Classroom,13.5h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-V11P101&LastEntry=,Civil Service College (CSC),"(Do note that CRPEPVL was the previous code for this programme)

How has procurement evolved in the Singapore Public Service? What are the new procurement methods available?

This programme will reinforce your basic understanding of public sector procurement by introducing innovative procurement methods, important skillsets and knowledge, while maintaining your basic awareness of prudence and compliance.","Describe the major Government Procurement Rules and Guidelines 
Describe the direction of Innovation in Government Procurement 
Explain the common forms of bid rigging and how to minimise its risks 
Explain the intricacies of Specifications and Evaluation 
Describe practical aspects of Stakeholder Management 
Describe practical aspects of Supplier Management and linking it back to the different aspects of the procurement lifecycle 
Apply practical aspects of Contract Management to avoid audit issues and improve management of suppliers","You are a non-procurement public officer who performs procurement work as part of your role. You are recommended to complete Procurement e-Learning 1.1* (DLP-E11PEL), before attending this programme.

*Please note that Procurement e-Learning 1.1 was previously known as basic procurement training (MPFM1, PNP10) or the e-learning pathways (ELPELP1, ELPELP2 or ELPELP3)."
CFFP x Explore My Career through Conversations ,-,,Classroom,3h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11CFEC&LastEntry=,Civil Service College (CSC),"*Prerequisite Note: This Career Fitness workshop is available as an in-house programme and must be delivered as Part 2 of the CFFP curriculum to create a seamless, integrated 1-day learning experience.

Most of the successful careers are built through intentional dialogue with key stakeholders. This is a practical, action-oriented workshop designed to help you take charge of your professional trajectory.

You will learn to map your professional network, adapt the structured GROW framework for different stakeholders, and actively practice navigating career conversation challenges. 

You won't just learn why these conversations matter—you will walk away with a personalized script and a concrete action plan to execute them with confidence in your career fitness journey.","Understand how conversations with key stakeholders (e.g. supervisors, peers, mentors, coaches) can support career development and progression.
Identify the different forms of guidance and opportunities that supervisors, peers, mentors, and coaches can provide.
Use GROW framework to prepare and practise seeking feedback, guidance, and opportunities with key stakeholders.
Develop an action plan to engage key stakeholders and move forward with greater clarity and confidence in your CareerFitness journey.","This programme is specifically designed for public sector officers who are:

In the 'Explore' Career Life Stage: Looking to adapt to a new role, gather feedback, or discover potential pathways for growth.
Proactive Professionals: Anyone wanting to build stronger, more strategic partnerships with supervisors, mentors, coaches, and peers to unlock hidden professional development opportunities."
Supervisor's Guide to Careerfitness Conversations,11 Aug 2026,$964.65,Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21CDM&LastEntry=,Civil Service College (CSC),"(Do note that CRCDM10 was the previous code for this programme)

As a supervisor, you play a vital role in helping your officers manage and develop their careers. In this programme, you will gain practical knowledge and skills to guide your officers in achieving their career aspirations while also aligning with organisational goals. You will also receive a 1 hour one-on-one coaching session with a career coach to strengthen your ability to manage your officers' career development.","Apply effective strategies to support officers’ career growth by identifying development opportunities and providing constructive feedback
Guide your officers in crafting a career development plan using Our Core Competencies (OCCs) as a framework, integrating individual growth with organisation priorities and team objectives
Enhance quality of career conversations by recognising personal blind spots and motivations to provide more balanced and objective guidance",You are a supervisor/reporting officer in the Singapore Public Service managing one or more officers.
[Virtual Classroom] Introduction to Behavioural Insights,16 Mar 2027,"$1,035.50",Classroom,12h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-V11IBI&LastEntry=,Civil Service College (CSC),"(Do note that CREPD11 was the previous code for this programme)

How can we design interventions that effectively shape public perceptions and behaviours? Public service officers are becoming increasingly aware of the importance of behavioural insights for effective and evidence-based intervention design. Through a series of lectures, you will gain a comprehensive introduction to the key ideas in behavioural insights and be equipped with the foundation for designing and implementing policies in a behaviourally compatible way.","Identify common biases and heuristics that affect the public and policymakers.
 
Explain the key concepts and applications of behavioural insights to design effective policies.
 
Describe the benefits and limitations of approaches that draw on behavioral insights.",You are a Singapore Public Officer involved in areas that have a strong element of behavioural change on the part of citizens or customers.
ComplianceConnect: Designing Better Regulatory Experience,-,,Classroom,12h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P31DBRE&LastEntry=,Civil Service College (CSC),"In this ComplianceConnect programme, discover how leading regulatory agencies are redesigning regulatory experiences through citizen and business-centric approaches. Learn from successful local and overseas case studies, whilst exploring principles for designing better regulatory experience.

Through experiential activities, collaborative redesign workshops, and cross-functional discussions, participants will develop practical skills to identify regulatory pain-points and design integrated, stakeholder-centric regimes that leverage technology and cross-agency collaboration. 

Join fellow practitioners and gain actionable insights to lead your agency's shift towards regulatory excellence that builds public trust whilst reducing compliance costs for citizens and businesses.","By the end of the session, participants will be able to:

Apply stakeholder-centric approaches to design regulatory solutions that balance stakeholder (e.g. business) needs with regulatory outcomes.
Develop risk-based compliance strategies through co-creation with stakeholders.
Integrate technologies and adaptive approaches to streamline processes and enhance regulatory responsiveness.","This programme is open to all Regulatory, Compliance and Enforcement officers."
Every Door Is The Right Door (NWD Simulation Workshop),14 Jul 2026,$577.70,Classroom,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21EDR&LastEntry=,Civil Service College (CSC),"(Do note that CREDR13 was the previous code for this programme)

Members of the public generally view the Public Service as a single entity. Since its inception in 2004, the No Wrong Door policy has been largely successful in helping our public officers deal with misdirected feedback or cross-agency issues brought up by the public. But what happens when the issues are not so straightforward? Or there seems to be ""no right door""?

 

This workshop is designed to help public officers in frontline teams better understand and operationalise the No Wrong Door (NWD) policy and the First Responder Protocol (FRP).

 

The workshop will have a mix of frontline officers and supervisors from different agencies attending it together to learn about the NWD/FRP steps and accompanying skill sets through case simulations in a classroom setting. Going beyond just a ""tell"" session, this workshop simulates real-life challenges and dilemmas that frontline officers and their supervisors face in the course ","Provide inter-agency customer service according to the procedures and standards specified in the NWD policy and the FRP
 
Display a WOG attitude and the First Responder spirit when responding to customer requests that involve multiple agencies
 
Demonstrate customer service skills and people skills in email, face-to-face and phone interactions with customers and colleagues from other agencies when responding to inter-agency customer requests","You are a Singapore Public Officer whose work involves inter-agency coordination as you deliver service to the public.

Trainers
Hu See Hwa (Pamela/Pam)
Pam has more than 35 years of experience in the private and public sectors. Over the last 10 years, she was actively involved in education and training, facilitation and consultancy in customer service, data protection, human resource and change management, corporate communications, and business process improvements in the Infocom, media, and the government sector. She also developed various courseware in the areas of customer service, mystery shopping, and government IT services.

Pam was also a National Business Excellence Assessor with SPRING’s Business Excellence Certification &amp; Awards Assessment Team. She had built up assessment and audit competencies in the government, retail, education, and construction sectors assessing for the People Excellence Award, Innovation Excellence Award, and Service Medallion Award.

Pam served as"
Multipliers for Leading Transformation,-,,Classroom,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21MLT&LastEntry=,Civil Service College (CSC),"Next run: 23 July 2026

Please register for this programme here - Registration form for Multipliers for Leading Transformation on 23 July 2026 | FormSG

Course fees are at $895 (inclusive of $80.55 GST) before 40% subsidy for public service officers.

--------------------------------------------------------------

(Do note that CRMLTX was the previous code for this programme)

You're facing increasing pressure to act swiftly, maintain relevance, and stay ahead of the curve in today's rapidly changing landscape. 

As a senior leader, you're expected to spearhead transformation efforts in response to these challenges.

In this programme, you will be equipped with practical frameworks and actionable strategies to lead and drive transformation effectively. Our approach synthesises current research and hands-on consultancy insights from working with senior leadership teams across various levels and layers in agencies. 

To make the most of this experience, we ask that you come prepared with","Understand the crippling challenges and differentiating success factors of transformation
Explore the essential dimensions of strategy, leadership and culture, and what needs to be done differently to multiply the odds of success
Gain practical frames and actionable tools to apply and/or adapt for organisational transformation efforts","You are a leader who is preparing for or in the midst of a divisional, departmental or organisational transformation"
Foundation for Uplifting Service by Ron Kaufman,,$479.60,Digital Learning (Pay-per-use),4h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=DLP-E11FUS&LastEntry=,Civil Service College (CSC),"(Do note that ELFUS13 was the previous code for this programme)

In our highly customised world, where customer experience is constantly evolving, people expect to be recognised and uniquely served. To stand out, your service must be Unbelievable! 

Uplifting Service provides service excellence workshops you need to continuously improve internal and external service performance. This suite of powerful tools enables the foundation of your superior and sustainable service culture.","Learn a framework to continuously improve the customer service performance and employee engagement.
Build a common service language to help employees from different departments and levels communicate more quickly and easily.
Enable employees to evaluate processes and actions from the customer’s point of view and improve the customer journey– for external customers and internal colleagues.
Empower team members to earn compliments, resolve persistent customer complaints, and exceed customer expectations.",You are a Singapore Public Officer who is keen in Service Excellence.
