title,start_date,price,product_type,duration,course_url,provider,description,learning_outcomes,who_should_attend
Introduction to Systems Thinking for Policymaking,05 Aug 2026,$981.00,Classroom,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11ISTP&LastEntry=,Civil Service College (CSC),"When policy problems are complex, the instinct is often to diagnose the cause and apply a direct fix. But in practice, such an approach can produce unintended consequences, or fail entirely, because the real drivers lie elsewhere in the system. Introduction to Systems Thinking for Policymaking is a one-day, hands-on programme designed to strengthen junior officers’ critical thinking in complex policy work. You will move beyond linear problem-solving to adopt a systems perspective – understanding how your policy challenges are embedded within broader systems that shape behaviours and outcomes. Using a practical Adaptive Action approach applied to real cases and guided exercises, you will develop sharper problem framing, learn to identify patterns, map interdependencies, and make more informed policy decisions in complex environments.","Describe what is meant by a system and systems thinking.
Explain the importance of systems thinking in policymaking",New officers and/or individual contributors in the Policy and Planning function.
Partnership and Engagement 301,-,,Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P31PE&LastEntry=,Civil Service College (CSC),"(Do note that CRPE301 was the previous code for this programme)

Citizen engagement projects are complex on multiple fronts. On the front-end, they involve significant interface between government agencies and citizen stakeholders; on the back-end they involve substantial coordination across departments within agencies, and often between agencies if issues cut across multiple policy domains. They also require simultaneous management of multiple stakeholders: Political Office Holders and senior management of an agency, stakeholders on the issues being discussed, citizen participants and internal staffing teams.

These multiple, overlapping complexities require a particular blend of leadership skills that the programme will introduce – these skills include polarity thinking, complexity science and systems thinking, managing and designing experiences for multiple personality types, and harnessing a range of leadership action logics.

The programme will focus on practical application of th","Appreciate the range of motivations for different stakeholders involved in citizen engagement and partnership projects, both in and outside of government, and at both senior and junior levels within governments
Apply a range of leadership and managerial tools to the specific challenges, opportunities and needs of citizen engagement and partnership projects
Recognise that as senior leaders, they can have significant agency to influence the outcomes and/or success of citizen engagement and partnership projects, even if ultimate authority might rest with more senior officers, and expertise might lie among both more junior staff and external facilitators/partners
Identify how their personal leadership can be manifested in constructive ways for citizen engagement and partnership projects",Directors and above with significant working experience on citizen engagement at the leadership level and/or are leading multiple complex citizen engagement projects
Applied AI in Practice,-,,Classroom,4.5h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11AAIP&LastEntry=,Civil Service College (CSC),"Turn your everyday tasks into productivity gains with AI

You've learned the basics, now it's time to put that knowledge into practice. Through this half-day programme, you'll learn to integrate government and commercial AI tools - Pair, PlatformAI (Govtech), Orca (MOM), NotebookLM into daily tasks through hands-on application. 

You'll work on authentic work scenarios like analysing data, brainstorming ideas, conducting research, or handling service requests by combining multiple AI platforms.

What you'll gain:

Workflow integration: Learn how AI fits naturally into your workflows and processes
 
Public service case studies: Work on scenarios that align with your role, covering research, presentation, or customer service, etc.
 
Ready-to-use prompts: Leave with practical knowledge and examples you can adapt to your daily tasks

Note: This programme has replaced V11AIH - The AI Handbook: A Beginner's Guide. We'll gradually update the content as new AI tools become available. 

Learner","Apply effective prompting techniques to enhance AI-assisted work  
Integrate and combine AI tools responsibly into public service workflows 
Leverage AI for diverse tasks across multiple domains","You are a public officer who is beginning to use AI at work. You know basic prompting skills and have used tools like ChatGPT and Pair for tasks such as drafting emails and summarisation. 

You're looking to learn how to integrate generative AI into your daily work and discover how to combine multiple AI tools effectively."
Powering Tomorrow: Inside Shenzhen's Digital Ecosystem,16 Nov 2026,"$7,989.70",Classroom,40h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11GISN&LastEntry=,Civil Service College (CSC),"(Do note that CRGISN was the previous code for this programme)

Join us on an immersive journey into China's digital ecosystem and witness its technological advances firsthand. Step into Shenzhen, China's Silicon Valley and innovation powerhouse, to see how it is transforming public service delivery and urban solutions.

Singapore and China's digital partnership has grown significantly through key initiatives including the Chongqing Connectivity Initiative (2015), the Shenzhen Smart Cities Initiative (2019), and the Digital Policy Dialogue (2023). These partnerships have paved the way for meaningful collaboration in digital connectivity, innovation and entrepreneurship, and talent exchange development.

As Singapore continues to deepen its international digital partnerships, this programme offers a unique opportunity for public service officers to explore how China's cutting-edge digital innovations can be contextualised and applied to Singapore’s Smart Nation journey.

This programme ","Learn about Shenzhen's smart city vision and how digitalisation is transforming Chinese megacities
Explore Shenzhen's AI innovations and applications in urban solution
Visit leading tech companies to learn about digital innovations and solutions","Officers should preferably have at least 3–7 years of work experience in digital development and/or international relations-related portfolios, with a strong emphasis on those in or preparing for team lead positions."
Municipal Services Delivery Programme,18 Aug 2026,$997.35,Classroom,13h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11MSDP&LastEntry=,Civil Service College (CSC),"(Do note that CRMSDC1 was the previous code for this programme)

Have you ever wondered about the different roles of our municipal agencies? Or wished you were able to navigate the various protocols and Standard Operating Procedure (SOPs) with ease to help citizens better?

In this programme, you will learn to solve municipal issues with practical resources. You will also get acquainted with fellow officers from other municipal agencies and have the opportunity to discuss complex issues for effective municipal services delivery. We will also share case studies and good practices (e.g. in responding to public feedback).

This programme is developed in partnership with the Municipal Services Office (MSO).

You are required to complete “Delivering Municipal Services 101” in LEARN before coming to the classroom segment.","Recognise the roles and responsibilities of agencies in the municipal sector
Identify tools to resolve inter-agency issues
Learn citizen-centred approaches in responding to public feedback","You are a frontline officer i.e. Ops managers and officer (MX12 and below) with up to 1 year of experience in managing municipal issues in a OneService agency. Participants must be in a OneService agency i.e. BCA, HDB, LTA, NEA, NParks, PA, PUB, SLA, SPF and URA."
Parliamentary Replies And Processes ,-,,Classroom,12h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11PRP&LastEntry=,Civil Service College (CSC),"(Do note that CR-P11PPAR was the previous code for this programme)

As a public officer, you may find yourself having to provide answers to questions posed to your ministry during parliamentary session.

In this programme, you will learn how to draft effective parliamentary replies which emphasises your organisation's key messages to the public. You will also learn the business of Parliament and understand the PQ system, its procedures and timelines.","Understand the PQ system, its procedures and timelines.
Draft replies that address the main concerns of the Members of Parliament (MPs), their constituents and the public, and emphasise the organisations key messages to the public",You are a Singapore Public Officer who may be required to write responses to parliamentary sessions in the course of your work.
High Performing Teams by Design,-,,Classroom,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-M12HPTD&LastEntry=,Civil Service College (CSC),"High Performing Teams by Design is a one-day, practice-based workshop for leaders to improve team effectiveness by diagnosing and shaping the conditions that matter most—so you can exercise judgement on where to focus your leadership effort, using the Six Team Conditions framework as a guide.

Rather than reacting to visible issues (e.g. misalignment, slow decisions, ineffective meetings), the programme helps you diagnose the underlying conditions that shape team performance—and exercise judgement on where to intervene for greatest impact.

Core concepts of the Six Team Conditions framework are introduced through prerequisite e-learning modules (delivered as a separate programme), enabling workshop time to focus on applying the framework to your own team, learning from peers, and translating insights into action","Diagnose team challenges at the level of underlying conditions (not just behaviours)
Assess your team’s current conditions and identify the highest-leverage focus area
Learn how other leaders approach similar team challenges across contexts
Leave with a practical action plan and clear next steps to take with your team",Deputy Directors and Directors leading teams
AI Tech Festival: AIgniting Action,18 Sep 2026,$141.70,Events,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=EV-P11AITF&LastEntry=,Civil Service College (CSC),"AI Tech Festival is back again, this time, to help you in your AI journey, to turn that spark of intention into action!

Join the AI Tech Festival - Igniting Action this year in person and discover how  AI can be applied meaningfully in your work across the public service. Through plenary session, concurrent breakout session, live demonstrations, and interactive showcases, you will explore real-world government use cases and gain practical insights into how you may adopt AI in your work to enhance productivity, decision-making, and service delivery. Learn more about AI tools through play at our AI Playground too! This event offers you a hands-on opportunity to learn, build networks and contacts and build confidence in applying AI in your day-to-day role! 

Curate your own learning for that day by choosing the breakout session of your choice. More details will be shared with you via email upon confirmation of your registration.","We hope the event will enable participants to:

Sharp minds, Smart tools 
Building mindsets and applying critical thinking to get better outcomes from AI, owning the work, and not outsourcing your judgement
 
Domain Exchange – Across Workflow
Discovering possibilities of adopting AI in various functional domains in Public Service, highlighting the opportunities and challenges of AI adoption
 
AI in Action 
AI-related Hands-on experience, providing participants with the skills and confidence to apply & explore AI solutions in their work.
 
Use AI safely and responsibly
Using AI with a clear understanding of its ethical boundaries, data responsibilities, and risks","This is only for Singapore Public Officers, who are keen to move beyond awareness of AI and seek to adopt AI in the course of work."
PaCE – Public Communications and Engagement Executive Programme,18 Jan 2027,"$2,943.00",Milestone,40h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=MS-P11PACE&LastEntry=,Civil Service College (CSC),"(Do note that MSPCE10 was the previous code for this programme)

The Public Communications and Engagement Executive Programme (PaCE), previously known as the Public Communications and Engagement 101 Programme, is a milestone programme that provides an overview of the key thrusts and challenges of government communications. 


In this programme, you will learn about the good practices of effective government communications in five key areas – Strategic Communications, Media Messaging & Engagement, Marketing & Branding, Research & Analysis, and Engagement. 


You will also learn about the government communications structure, use data to shape communication strategy, get the best out of media engagement, explore news treatment by different media, learn how to manage misinformation and fake news, develop a marketing campaign, adopt a digital first strategy for communication efforts, and strengthen engagement and outreach.","- Gain an overview of the core knowledge and skills in 5 critical areas of communications:
Strategic Communications
Media Messaging and Engagement
Marketing and Branding
Research and Data Analysis
Engagement


- Identify digital platforms, consumption patterns and audience analysis for a digital first strategy.


- Be equipped with practical tips and best practices on effective ground execution to deliver impactful communication results and outcomes.


- Identify central resources available for the implementation of government communication work and services e.g. WOG Framework agreements for procurement of translation services, content creation and research, as well as resources for partnership and engagement.",Singapore Public Service Officers with less than 3 years of experience and who are involved in Public Communications and Engagement work.
Integrating Strategic Communications and Engagement for Impact,13 Jan 2027,"$1,019.15",Classroom,24h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21PCE&LastEntry=,Civil Service College (CSC),"Government communications must be impactful to achieve the desired outcomes – build understanding and awareness, gain public trust, and support and influence behaviours. This requires an integrated communications and engagement plan that covers the entire spectrum of competencies, from shaping narrative and key messages, staging the comms roll out on policy announcement, driving sense-making/research/message testing to engaging key stakeholders. This three-day programme is designed to illustrate how the various components of effective public communications come together to support policy roll out and ground implementation. 

You'll gain practical skills through three key ways: 

Case Study Analysis: Examine public communications interventions and value-add upstream for specific government policies and learn from best practices
Expert Insights: Learn directly from experienced practitioners who will share their insights and lessons learnt on effective government communication strategies ","Design an integrated communications, partnership and engagement (CPE) strategy to meet policy and communications objectives.
Utilise key data and research to identify and analyse specific audience segments, enabling customised messaging and narratives for each group. 
Develop a targeted stakeholder engagement plan to shape public opinion, manage perceptions and build meaningful stakeholder relationships. 
Identify and address potential opportunities and challenges through risk mitigation strategies, including ground sensing, message testing, and counter narratives. 
Establish key performance indicators to measure the progress and effectiveness of the integrated CPE strategy.","Middle Managers in the Comms and Engagement function.

$1,019.15/ participant
Including 9% GST of $84.15
Fees & Grants Details
Product Type
Classroom
Duration
24h 
Start Date
13 Jan 2027
Venue
CSC
Provided By
Civil Service College (CSC)
Domain 
•
Public Communications
•
Partnership and Engagement
Target Audience
Manager
Middle Management
LEARN
Contact Us
Reach.gov.sg
Report Vulnerability
Privacy Statement
Terms of Use
© 2026 Civil Service College.
Last Updated 18 June 2026
A Singapore Government Agency Website
How to identify
Log In
Public Service Learning Fest 2026​

Public Service Learning Fest 2026 brings learning to life with keynotes, workshops, webinars, learning journeys, and curated LEARN resources. Dive in to level up your AI and innovation skills this July.​ Explore More

1/1
About"
Engagement Immersion for Leaders (Directors),12 Nov 2026,"$2,038.30",Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P31EIL&LastEntry=,Civil Service College (CSC),"(Do note that CREIL30 was the previous code for this programme)

In recent years, the citizen and engagement ecosystem in Singapore has transformed, with a greater diversity of vibrant stakeholders with increased interactions and interdependencies amongst them. The challenges we face as a society are becoming more complex and are often referred to as “wicked problems.” Understanding the diverse needs, collaborating with diverse stakeholders, and leveraging their unique strengths are critical to addressing emerging societal challenges.

This programme is designed to be an immersive leadership development programme to equip Public Service leaders with the necessary appreciation, principles and skills required for effective citizen and stakeholder engagements/partnerships. By leveraging the perspectives of citizens and other stakeholders, leaders can better navigate the complexities of emerging challenges and find solutions to them.","Understand the experiences, needs and perspectives of partners and the community in relation to policy outcomes to strengthen policy design and implementation
Discuss case studies for public policy and engagement in Singapore
Gain clarity on your current leadership/work challenges and how multi-stakeholder engagement can support your teams in solving these challenges
Understand relational thinking and empower your teams to harness positive relationships, mobilise stakeholders, and foster strong alliances necessary for change
Learn skills to build openness and strike win-win engagements
Commit to a personal development plan to embrace and support community engagement experiences","Directors in a policy development, service delivery or in public partnerships and engagement portfolios and want to gain deeper insights to: • Understand how policy intentions may complement or differ from the citizens’ lived experiences • Listen empathetically to the needs of citizens • Acquire new skills in communication and engagement to co-deliver services with citizens and the people and private sector Please note that EIL for Dir-level and above are for officers who are in MX9 and above roles. If required, please discuss with your supervisor on the suitability of the EIL programmes for your job grade."
Engagement Immersion for Leaders (Middle Managers),26 Aug 2026,"$2,681.40",Classroom,24h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21EIL&LastEntry=,Civil Service College (CSC),"(Do note that CREIL20 was the previous code for this programme)

In recent years, the citizen and engagement ecosystem in Singapore has transformed, with a greater diversity of vibrant stakeholders with increased interactions and interdependencies amongst them. The challenges we face as a society are becoming more complex, and are often referred to as “wicked problems.” Understanding the diverse needs, collaborating with diverse stakeholders, and leveraging their unique strengths are critical to addressing emerging societal challenges.

The programme is designed as to be an immersive leadership development programme to equip middle managers with the necessary appreciation, principles and skills required for effective citizen and stakeholder engagements/partnerships. By leveraging the perspectives of citizens and other stakeholders, managers can better navigate the complexities of emerging challenges and find solutions to them.","Gather and understand ground realities and perspectives through field observations and conversations 
Deepen stakeholder engagement and partnership skills such as empathy and active listening 
Leverage ground sensing walks to build relationships & bridge gaps in perceptions
Build greater trust through collaboration
Strengthen consensus-building competencies
Gain clarity on current leadership/work challenges and how public engagement can support resolution of these challenges
Adopt relational thinking to harness positive relationships, mobilise stakeholders and foster strong alliances needed for changes
Commit to a personal development plan to apply ground-sensing and community engagement habits","Middle managers in a policy-development, service delivery or public partnerships and engagement role who want to gain deeper insights to help them: • Understand how policy intentions may complement or differ from the citizens’ lived experiences • Listen empathetically to the needs of citizens • Acquire new skills in communication and engagement to co-deliver services with citizens and the people and private sector Please note that EIL for MMs is designed for officers who are in the job grade MX11a-10 roles. If required, please discuss with your supervisor on the suitability of the EIL programmes for your job grade."
Introduction to Sensemaking and Narrative,04 Nov 2026,"$1,308.00",Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11SMN&LastEntry=,Civil Service College (CSC),"(Do note that CRSSE10 was the previous code for this programme)

This is an intermediate-level programme that provides an overview of sensemaking and narrative approaches, and how these approaches can be incorporated into your engagement design and implementation.


You will begin by learning about sensemaking through different frames and the background to narrative theory. This is followed by understanding how these frameworks can be used to guide workshop design, question framing, and other aspects of your engagement.","Learn sensemaking frameworks to support better awareness in planning and implementing engagements
Understand the use of narrative as an engagement technique
Explore how to pair and integrate qualitative and quantitative methods
Learn to build studies from stories, to data points, and to sensemaking frameworks for co-developing insight with stakeholders","This programme is suitable for officers who want to explore how to frame and design engagements to encourage deliberative sensemaking, and to incorporate more narrative-based approaches."
Compensation and Benefits in the Public Service,-,,Classroom,32h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21CABS&LastEntry=,Civil Service College (CSC),"(Do note that CRCABS was the previous code for this programme)

Dive into the latest practices, beliefs, and principles on how you can review your organisation's total rewards strategy!

The programme offers insights and practical perspectives on fixed and variable compensation, and their linkages to performance management. This is also an opportunity for you to learn how compensation is structured and the varying considerations and approaches to create a rewards strategy linked to organisational and HR strategy.","By the end of this programme, you will be able to:

Create a rewards strategy linked to organisational and HR strategy
Understand the concept of Total rewards, including the use of base pay, variable pay and benefits
Design rewards programmes that take into consideration both internal equity and external competitiveness
Write Job Descriptions and perform Job Analyses and Evaluations
Explain how performance management process and systemis integrated with other HR activities
Create compensation structures and pay ranges as well as annual merit increase strategies
Understand the use of incentives and their role in a rewards strategy
Recognise local conditions in Singapore and new trends in the compensation arena that may affect design of future remuneration strategies.",You are a HR practitioner doing Compensation and Benefits.
Systems Leadership Foundation,20 Aug 2026,"$2,299.90",Classroom,23h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P10SLF1&LastEntry=,Civil Service College (CSC),"In today’s complex landscape, problems are increasingly recognised as “wicked problems”—intricate challenges that defy simple solutions. Addressing these requires a shift away from traditional leadership and approaches to problem-solving towards systemic understanding and collective action.

Organised in collaboration with the SIM Centre for Systems Leadership, this two-part programme is designed to provide Public Officers with the tools and perspectives to navigate and effectively address complex problems. Through an Action Learning Project component, participants will develop a plan for a collaborative change initiative that creates real-world impact for their organisation and communities.

The trainer will be Thomas Lim, Dean of the Centre for Systems Leadership, SIM Academy. https://go.gov.sg/thomaslim","The programme will enable participants to:

Understand and apply the concepts of systems leadership and its core capabilities to navigate complex challenges beyond single-organisation solutions.
Apply systems thinking approaches and tools to analyse wicked, multi-stakeholder problems, moving beyond symptom-fixing towards high-leverage interventions.
Influence and align the broader ecosystem, including partners and communities towards shared outcomes.
Design and develop an actionable change project grounded in their organisation’s  mission through an Action Learning Project.
Lead as a system steward by balancing purpose, impact and sustainability while scaling change responsibly.
Strengthen personal resilience, leadership clarity and confidence to lead complex change with credibility and sustained energy.","Deputy Directors, Senior Deputy Directors and Directors

We recommend you attend the programme with at least one of your intact team members (could be junior to you) so that you can work on your organisation’s project together.

If you have questions, please see the FAQ which compares Systems Leadership Foundation with the Basic Systems Thinking course at CSC. https://go.gov.sg/faq-slfoundation"
[Virtual Classroom] Grow your Career Journey for Support Officers,,,Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-V11GCJS&LastEntry=,Civil Service College (CSC),"(Do note that CRGCJVL was the previous code for this programme)

Having witnessed how technology has reinvented jobs, and hybrid work arrangements have affected the way we worked, many of us are aware of the increasingly diverse, disruptive and complex work landscape.  

While we acknowledge that it is vital to take ownership of our careers by being resilient, agile and embracing the spirit of life-long learning through upskilling or re-skilling, how might we go about growing our career? 

In this programme, develop a customised Learning and Career Development Plan and explore developmental opportunities within the Public Service through a SWOT analysis.

You will also be equipped with a growth mindset, learn to manage your emotions and overcome changes and challenges that you may encounter in your career journey.

Lastly, learn how to effectively engage in a career conversation with your supervisor and have a one-to-one career session to discuss more on how you can navigate your caree","Understand the future world of work and the impact and impending changes to your job roles, learning and career development.
Uncover your current reality (Strengths, Weaknesses and Threats) and discover possible career development opportunities through SWOT analysis.
Explore opportunities for learning and career development using public sector resources.
Discuss how you can have an effective career conversation with your supervisors using the GROW model.
Design and implement a personal action plan for your career development.",You are a support officer in the Singapore Public Service who wants to take ownership of your career and have a better understanding of how to do so.
Bridges,,,Milestone,120h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=MS-P11BRID&LastEntry=,Civil Service College (CSC),"(Do note that MSB was the previous code for this programme)

As you step into your role as a middle manager, you may experience multiple changes during this transition phase. You may find yourself grappling with your leadership identity, questioning your value-add while navigating new responsibilities and unfamiliar challenges. Bridges is designed to be your support structure through this pivotal phase, providing a space to explore these challenges alongside peers on a similar journey. Through this programme, you will build a solid foundation for your leadership style, develop practical skills to lead, deliver and influence effectively, and form strong connections with fellow middle managers.","Deepen awareness about your leadership identity and impact so as to leverage strengths and act on growth areas
Gain practical skills and insights to influence culture, develop capacity and capability so that your team(s) and organisation can perform effectively and sustainably
Develop strategies to engage stakeholders within and outside the Public Service so as to understand diverse perspectives and deliver on shared outcomes 
Explain the considerations behind government priorities so that you can translate intent into implementation 
Form networks with fellow middle managers to support complex work","You are a newly-appointed Middle Manager within your first 2 years of assuming a middle management role and has prior experience leading teams (i.e., you are not new manager)."
[Virtual Classroom] Engaging Customers Professionally on Phone and Email,09 Jul 2026,$539.55,Classroom,8.5h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-V11ECPE&LastEntry=,Civil Service College (CSC),"(Do note that CRTSS12 was the previous code for this programme)

Love it or hate it, customers will continue to use the telephone as a means of communication to handle complex queries even in the face of digital transformation. It is therefore important that we learn effective telephone techniques, and excel in them, so that we our effectiveness, efficiency and professionalism can be experienced by the customers. 

This will not only enhance your image as a professional in your job, but also the image of your organisation. The programme will also impart basic email skills for when you are required to follow up your telephone conversation in writing.","Recap the CARE Service Principles in the Public Service and its application in telephone interactions
Articulate the importance of attitude and how to manage your attitude to stay positive and respond calmly in stressful customer situations
Explain the 4 phases of telephone interactions and the service standards in the Public Service
Apply the critical core skills needed in telephone interactions
Apply the approach, and techniques to handle commonly encountered difficult customer situations
Use the email guidelines and tips when following up over email with customers after the telephone interaction",You are a Singapore Public Officer who interact with customers on the phone.
Advanced Data Visualisation with Tableau,20 Aug 2026,$30,Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21TAB&LastEntry=,Civil Service College (CSC),"Move beyond basic charts and create powerful visualisations that match your analytical needs. Learn to create animated scatter plots that reveal trends over time, Gantt charts for project tracking, and Pareto charts for impact analysis.

You'll also master how to prepare your data for Tableau by wrangling, combining, and transforming complex raw datasets into visualisation-ready formats. Gain advanced techniques to analyse data more effectively, craft stories that drive decisions, and turn complex information into clear, compelling visuals.

Note: This is an intermediate - advanced programme. If you're new to Tableau, you're encouraged to attend Data Visualisation for Effective Communications first before attending this programme. 

If you're unsure, please use this self-assessment check list to check your suitability.","Apply key design principles to ensure that your visualisations convey the right message.
Design complex multi-layered visualisations using advanced chart types 
Clean, transform, and prepare messy datasets using Power query and Tableau
Create relationships between data tables and develop data models for analysis.
Use calculated fields, table calculations, and advanced filtering to derive new insights
Build interactive dashboards that answer key business questions and support strategic decision-making","You are a public officer in Singapore looking to create more advanced, impactful visualisations. This programme suits you if you have completed M11DVEC/CRSEC10 Data Visualisation for Effective Communications or have hands-on experience using Tableau for data visualisation in your work.

Click here to check if this programme fits your learning needs."
Futurecraft 201:  Scenario Planning Workshop,22 Sep 2026,$959.20,Classroom,20h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21FC&LastEntry=,Civil Service College (CSC),"(Do note that CRFC201 was the previous code for this programme)

Scenarios show what about the future we cannot change, and what we can change. That is the value of scenarios: sketching for us the terrain within which we have room to manoeuvre. Scenarios are a complement to quantitative models to forecast the future because they analyse qualitative factors that drive change, such as shifts in values and interests, which are not easily captured by quantitative models. Scenarios can spark “strategic conversations” on possible futures, and allow the discussion of questions that may be otherwise uncomfortable to discuss.

This two-day programme is intended for agencies planning to undertake a full-scale scenario project. You will be taught the full methodology of scenario planning, which builds on the basics from FutureCraft 101.","Define the focal question
Identify and analyse driving forces
Construct scenario frameworks
Articulate and communicate the scenario stories
Translate scenarios to strategies.


This workshop provides a much more in-depth and hands-on experience of scenario planning than FutureCraft 101, though this programme builds upon the basics taught in that course. You are encouraged to attend FutureCraft 101 before attending FutureCraft 201.",You are an experienced Singapore Public Officer who has strategic planning responsibilities and/or will carry out scenario planning in the near future.
Introduction to Policy Design and Evaluation Tools,15 Jul 2026,"$2,147.30",Classroom,24h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11FPPP&LastEntry=,Civil Service College (CSC),"(Do note that CRPDE10 was the previous code for this programme)

What tools can public officers use to design and evaluate new policies and programmes? Are these tools mutually exclusive?

In this practitioner-oriented programme, you will learn how to use tools such as Behavioural Insights, Data Analytics and Cost-Benefit Analysis to design and evaluate policies and programmes. Through examples and case study discussions, you will gain a basic understanding of how these tools can be used at different stages of the policy process as well as ways to address the limitations of these tools.","Describe how the policy tools can be used to design and evaluate policies and programmes;
Explain how the different policy tools are used at different stages of the policy development and evaluation process.","You are a Singapore Public Officer (Senior Executive – Senior Manager level) involved in policy design, formulation, analysis and evaluation and/or interested to find out more about policy design and evaluation."
[Virtual Classroom] AI-yoh! Is this AI right?,,,Classroom,2h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-V12AIYO&LastEntry=,Civil Service College (CSC),"Prompting is just the start. In the age of AI, the real skill lies in evaluating what it gives you. This webinar is all about sharpening your critical thinking skills when working with AI. You’ll learn how to spot red flags, challenge assumptions, and refine prompts to get outputs that are not just impressive, but also accurate and reliable. 

 

Please note that the class will be held on Zoom, and the link will be sent to you via Postman. Please keep a lookout on your emails!

You would need your own COMET/GSIB laptops to access GovAI tools for this programme.","Apply evaluation techniques and critical thinking approaches to identify errors, gaps, and biases in AI-generated content. 

Refine your prompts with frameworks to craft clearer, more targeted prompts that get you responses you can actually use. 

Apply simple, practical fact-checking methods to verify AI-generated output, so you can present, report, and recommend with confidence.","Public officers who want to sharpen their critical thinking and prompt refinement skills to work more effectively and confidently with AI.

 

Please note that this is a re-run of the webinar series in Sept-Oct 2025."
Selection Interview - Competency Based Skills & Techniques,30 Sep 2026,$817.50,Classroom,10h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11SCB&LastEntry=,Civil Service College (CSC),"(This is the physical modality of what was previously titled [Virtual Classroom] Selection Interview - Competency Based Skills & Techniques (CR-V11SCB))

Increasingly, organisations seek talent who can excel in today's roles whilst demonstrating the potential to thrive as the operating context evolves. As a manager, how do you identify candidates who possess both immediate capability and future growth potential to meet your organisation's objectives?

This workshop equips you with systematic competency-based interviewing techniques to evaluate candidates against the critical competencies and qualities essential for specific roles. You'll learn structured approaches that move beyond intuition-based to competency-driven selection of candidates who will thrive in their roles and contribute to your organisation's long-term success.","Understand the fundamentals of an end-to-end Recruitment and Selection process
Uphold an objective and professional approach of the Recruitment and Selection process 
Establish the business need for a required position and the desired critical competencies and qualities
Discover best practices in selecting the best fit candidates 
Apply competency-based interviewing techniques to assess competencies and qualities of potential candidates",You are a Singapore Public Officer who manages the recruitment and slecction process in your agency and/or conducts selection interviews.
[Virtual Classroom] Design Play!,,,Classroom,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-V11DPLY&LastEntry=,Civil Service College (CSC),"(Do note that CRDEPVL was the previous code for this programme)

Ever wondered about the importance of Design Thinking and how to apply it in the workplace?

As public officers, it is important to challenge long-held assumptions and empathise with stakeholders and citizens to uncover and address their needs in public sector challenges. We must also learn to experiment with ideas to improve work processes and service delivery, and be open to new approaches.

Sign up for this introductory programme now to learn more about human-centred design and approach, framed by the 5Es and Public Service Innovation Framework, and how it can be relevant to your work.","Describe the design thinking process, with a focus on public sector application 
Recognise the importance of empathy with users and understanding people's needs in public sector challenges 
Discover the concept and value of iteration in the design thinking process",You are a Singapore Public Officer who is interested in understanding the basics of human-centred design methodologies.
The Six Levels of Service by Ron Kaufman,,$147.15,Digital Learning (Pay-per-use),1h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=DLP-E11SLS&LastEntry=,Civil Service College (CSC),"(Do note that ELSLS13 was the previous code for this programme)

In this programme, you will learn the fundamental service principles to upgrade service levels and uplift your customer’s experience. You will learn how to delight your customers, support your colleagues and help build an uplifting service culture.You will find new ways to improve your service and create more service value for your customers and colleagues.","Recognise different levels of internal and external service
Understand why service must continuously improve
Identify specific action steps to upgrade your service",You are a Singapore Public Officer who is keen in Service Excellence.
